year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2015,BMW,F8X M4,"94,300",Clean (MT),"Boca Raton, FL 33432",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Sonoma Beige,3,21250,3/19/26,https://carsandbids.com/auctions/3OYAJeak/2015-bmw-m4-convertible
2015,BMW,F8X M4,"53,100",Clean (CA),"Hayward, CA 94545",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Black,0,33750,3/11/26,https://carsandbids.com/auctions/9Qa4AYnY/2015-bmw-m4-coupe
2017,BMW,F8X M4,"90,000",Clean (GA),"Davenport, FL 33837",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,0,30000,3/4/26,https://carsandbids.com/auctions/rMGO8qa3/2017-bmw-m4-coupe-competition-package
2018,BMW,F8X M4,"99,100",Clean (NJ),"Union, NJ 07083",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Sakhir Orange,10,26750,2/25/26,https://carsandbids.com/auctions/KPaOWpl2/2018-bmw-m4-coupe
2018,BMW,F8X M4,"38,000",Clean (CA),"Los Angeles, CA 90025",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Black,0,46000,2/10/26,https://carsandbids.com/auctions/rGMVmp5O/2018-bmw-m4-coupe
2015,BMW,F8X M4,"76,800",Clean (CA),"Danville, CA 94526",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Black,29,28850,2/6/26,https://carsandbids.com/auctions/KDD50X7E/2015-bmw-m4-coupe
2018,BMW,F8X M4,"16,200",Clean (GA),"Suwanee, GA 30024",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Tanzanite Blue Metallic,Black,2,53500,1/20/26,https://carsandbids.com/auctions/3040WgG1/2018-bmw-m4-coupe-competition-package
2018,BMW,F8X M4,"20,300",Clean (MD),"Silver Spring, MD 20906",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Black,0,48000,1/13/26,https://carsandbids.com/auctions/9ekJAZok/2018-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"81,300",Clean (CA),"San Jose, CA 95112",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Austin Yellow Metallic,Black,28,28000,1/8/26,https://carsandbids.com/auctions/9Ab482bz/2016-bmw-m4-convertible
2020,BMW,F8X M4,"24,900",Clean (TN),"Murfreesboro, TN 37129",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,San Marino Blue Metallic,Silverstone,3,50000,12/19/25,https://carsandbids.com/auctions/35vq5DwB/2020-bmw-m4-convertible-competition-package
2015,BMW,F8X M4,"50,800",Clean (NC),"Cumming, GA 30041",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral White Metallic,Sakhir Orange,0,24750,12/10/25,https://carsandbids.com/auctions/3gozZppo/2015-bmw-m4-convertible
2016,BMW,F8X M4,"63,000","Clean (ON, Canada)","Ottawa, ON, Canada",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Silverstone,8,28000,12/3/25,https://carsandbids.com/auctions/9Wa6b4jR/2016-bmw-m4-coupe
2016,BMW,F8X M4,"10,900",Clean (CA),"Hermosa Beach, CA 90254",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Grey Metallic,Black,2,75500,11/10/25,https://carsandbids.com/auctions/9W14JgQq/2016-bmw-m4-gts
2017,BMW,F8X M4,"32,700",Clean (CO),"Castle Rock, CO 80108",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Sakhir Orange Metallic,Sakhir Orange,5,44500,10/23/25,https://carsandbids.com/auctions/K1lxJend/2017-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"64,500",Clean (PA),"Easton, PA 18042",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral Gray Metallic,Sakhir Orange,19,27500,9/9/25,https://carsandbids.com/auctions/KPyjdqA2/2015-bmw-m4-convertible
2017,BMW,F8X M4,"53,700",Clean (NJ),"Maplewood, NJ 07040",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Silverstone,0,31000,8/29/25,https://carsandbids.com/auctions/KdalJWab/2017-bmw-m4-convertible
2015,BMW,F8X M4,"73,400",Clean (MN),"Minneapolis, MN 55438",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Mineral Gray Metallic,Sonoma Beige,6,33750,7/14/25,https://carsandbids.com/auctions/3La68dOW/2015-bmw-m4-convertible
2015,BMW,F8X M4,"65,400",Clean (GA),"Atlanta, GA 30308",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Silverstone,0,29000,6/13/25,https://carsandbids.com/auctions/Kmp87mxN/2015-bmw-m4-convertible
2015,BMW,F8X M4,"7,200",Clean (CA),"Templeton, CA 93465",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Black,0,40500,5/30/25,https://carsandbids.com/auctions/rGMqYqQ2/2015-bmw-m4-coupe
2018,BMW,F8X M4,"78,200",Clean (CA),"Nipomo, CA 93444",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Black,0,35000,5/20/25,https://carsandbids.com/auctions/rxP4JwYO/2018-bmw-m4-coupe-competition-package
2017,BMW,F8X M4,"43,500",Clean (VA),"Ashburn, VA 20147",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Sakhir Orange Metallic,Black,1,43000,5/19/25,https://carsandbids.com/auctions/3y7kgO6w/2017-bmw-m4-convertible
2017,BMW,F8X M4,"14,900",Clean (MT),"Reno, NV 89511",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Alpine White,Black,2,45250,4/21/25,https://carsandbids.com/auctions/KV1R8b4M/2017-bmw-m4-convertible
2020,BMW,F8X M4,"23,700",Clean (TX),"North Richland Hills, TX 76180",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Silverstone,2,54600,4/7/25,https://carsandbids.com/auctions/KPL8YZLQ/2020-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"78,400",Clean (TX),"San Antonio, TX 78213",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Black,5,28250,3/25/25,https://carsandbids.com/auctions/3gvDYABz/2016-bmw-m4-coupe
2020,BMW,F8X M4,"24,700",Clean (NY),"Croton-on-Hudson, NY 10520",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Sakhir Orange,8,44000,3/18/25,https://carsandbids.com/auctions/9eJ458VN/2020-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"34,900",Clean (CO),"Littleton, CO 80129",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral Gray Metallic,Black,6,33751,3/4/25,https://carsandbids.com/auctions/3oE5lpEw/2016-bmw-m4-convertible
2015,BMW,F8X M4,"93,300",Clean (IL),"Evanston, IL 60201",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Grey Metallic,Black,7,28000,2/4/25,https://carsandbids.com/auctions/9ngb76mv/2015-bmw-m4-coupe
2016,BMW,F8X M4,"77,600",Clean (NM),"Las Cruces, NM 88012",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,7,33250,12/17/24,https://carsandbids.com/auctions/3R0ejdkv/2016-bmw-m4-coupe
2016,BMW,F8X M4,"66,200",Clean (CA),"Midway City, CA 92655",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Yas Marina Blue,Sakhir Orange,18,34200,12/12/24,https://carsandbids.com/auctions/r4VxOMpP/2016-bmw-m4-coupe-competition-package
2017,BMW,F8X M4,"17,300",Clean (FL),"Hollywood, FL 33020",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue Metallic,Silverstone,9,44500,12/10/24,https://carsandbids.com/auctions/rN2vY0GE/2017-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"73,800",Clean (CO),"Fort Collins, CO 80524",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Mineral Gray,Black,9,28500,11/25/24,https://carsandbids.com/auctions/3RvLkyPv/2015-bmw-m4-coupe
2015,BMW,F8X M4,"83,000",Clean (MA),"Duxbury, MA 02332",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mondstein Metallic,Muscat,3,25500,11/15/24,https://carsandbids.com/auctions/3qxJQll4/2015-bmw-m4-convertible
2020,BMW,F8X M4,"25,800",Clean (OR),"Damascus, OR 97089",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange,6,50000,11/5/24,https://carsandbids.com/auctions/9a52oJOX/2020-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"79,500",Clean (FL),"Miami, FL 33178",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Silverstone 2,4,26500,10/31/24,https://carsandbids.com/auctions/3RmLQEVD/2016-bmw-m4-convertible
2016,BMW,F8X M4,"43,500",Clean (TN),"Hendersonville, TN 37075",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Austin Yellow Metallic,Black,2,37000,10/22/24,https://carsandbids.com/auctions/36WYpEpW/2016-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"41,500",Clean (AR),"Fayetteville, AR 72703",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Alpine White,Black,2,35500,10/18/24,https://carsandbids.com/auctions/rxnxeJ0z/2015-bmw-m4-coupe
2015,BMW,F8X M4,"62,200",Clean (CA),"Carmel Valley, CA 93924",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Alpine White,Black,1,32600,10/8/24,https://carsandbids.com/auctions/3vMkX5wk/2015-bmw-m4-convertible
2015,BMW,F8X M4,"122,900",Clean (AL),"North Brook, IL 60062",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,2,23160,9/30/24,https://carsandbids.com/auctions/3zV4kLk4/2015-bmw-m4
2018,BMW,F8X M4,"16,900",Clean (NY),"Universal City, TX 78150",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Speed Yellow,Opal White,2,64500,9/27/24,https://carsandbids.com/auctions/KPjRLV42/2018-bmw-m4-convertible-competition-package
2016,BMW,F8X M4,"89,000",Clean (WA),"Issaquah, WA 98027",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Alpine White,Black,2,26250,9/11/24,https://carsandbids.com/auctions/K1D2lNOd/2016-bmw-m4-convertible
2019,BMW,F8X M4,"34,700",Clean (TX),"Lewisville, TX 75067",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Mineral White Metallic,Silverstone,2,51500,9/5/24,https://carsandbids.com/auctions/K1l2BMYj/2019-bmw-m4-convertible-competition-package
2015,BMW,F8X M4,"42,500",Clean (TX),"Houston, TX 77044",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue,Black,19,40000,8/27/24,https://carsandbids.com/auctions/3L6mdvRZ/2015-bmw-m4-coupe
2015,BMW,F8X M4,"60,300",Clean (CA),"Los Gatos, CA 95032",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Grey Metallic,Black,9,31500,8/2/24,https://carsandbids.com/auctions/92AYgONA/2015-bmw-m4-coupe
2015,BMW,F8X M4,"51,000",Clean (IL),"Arlington Heights, IL 60005",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue Metallic,Sakhir Orange,14,31000,7/19/24,https://carsandbids.com/auctions/3R2eyoWq/2015-bmw-m4-coupe
2018,BMW,F8X M4,"120,600",Clean (CA),"Walnut Creek, CA 94598",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,1,25000,7/17/24,https://carsandbids.com/auctions/3OWZzeZ6/2018-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"82,900",Clean (TX),"Katy, TX 77494",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Black,16,29850,6/19/24,https://carsandbids.com/auctions/r4BaRjJg/2015-bmw-m4-convertible
2017,BMW,F8X M4,"42,100",Clean (AZ),"Chandler, AZ 85226",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Silverstone Metallic,Black,1,39750,5/22/24,https://carsandbids.com/auctions/rwXjJ4aN/2017-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"55,600",Clean (MT),"Los Gatos, CA 95030",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Sakhir Orange,11,33000,5/8/24,https://carsandbids.com/auctions/KVNYXB5M/2015-bmw-m4-coupe
2015,BMW,F8X M4,"56,500",Clean (GA),"Duluth, GA 30096",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Azurite Black Metallic,Opal White,10,32750,4/30/24,https://carsandbids.com/auctions/3pBZ1ooW/2015-bmw-m4-convertible
2016,BMW,F8X M4,"72,100",Clean (TX),"San Antonio, TX 78232",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Sakhir Orange Metallic,Cohiba Brown/Black,1,29750,4/19/24,https://carsandbids.com/auctions/rN1PygpX/2016-bmw-m4-coupe
2018,BMW,F8X M4,"47,300",Clean (NY),"Flushing, NY 11354",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Sakhir Orange/Black,10,43000,3/29/24,https://carsandbids.com/auctions/rkpMRamL/2018-bmw-m4-coupe-competition-package
2018,BMW,F8X M4,"17,200",Clean (CA),"Anaheim, CA 92805",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Smoked Topaz Metallic,Opal White,5,56350,3/15/24,https://carsandbids.com/auctions/rJ6NZ2BO/2018-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"105,100",Clean (CA),"Campbell, CA 95008",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Black/Anthracite,11,24000,3/13/24,https://carsandbids.com/auctions/3owEp1Xg/2015-bmw-m4-coupe
2016,BMW,F8X M4,"30,400",Clean (CA),"El Dorado Hills, CA 95762",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Silverstone Metallic,Silverstone,2,37500,3/7/24,https://carsandbids.com/auctions/3vJEzgAd/2016-bmw-m4-convertible
2018,BMW,F8X M4,"19,700",Clean (NY),"Chapel Hill, NC 27517",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,5,49000,2/20/24,https://carsandbids.com/auctions/98Owg07X/2018-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"45,000",Clean (FL),"Potomac, MD 20854",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Black,1,34750,2/5/24,https://carsandbids.com/auctions/rNBVZW7k/2015-bmw-m4-convertible
2015,BMW,F8X M4,"32,600",Clean (FL),"Orlando, FL 32832",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Silverstone,8,37250,1/22/24,https://carsandbids.com/auctions/9lk05eyE/2015-bmw-m4-coupe
2016,BMW,F8X M4,"78,400",Clean (CA),"San Jose, CA 95127",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Black,5,32000,12/7/23,https://carsandbids.com/auctions/r477peNp/2016-bmw-m4-convertible
2018,BMW,F8X M4,"3,200",Clean (PA),"Royersford, PA 19468",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Tanzanite Blue Metallic,Black,2,57000,12/5/23,https://carsandbids.com/auctions/9WYp7djQ/2018-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"41,100",Clean (NM),"Clovis, NM 88101",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Silverstone Metallic,Black,27,40000,11/16/23,https://carsandbids.com/auctions/3vWLy1YM/2016-bmw-m4-coupe
2017,BMW,F8X M4,"79,800",Clean (FL),"Vero Beach, FL 32968",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Silverstone,0,32500,10/31/23,https://carsandbids.com/auctions/3oRxPADw/2017-bmw-m4-convertible-competition-package
2015,BMW,F8X M4,"41,000",Clean (FL),"Kissimmee, FL 34758",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange/Black,7,34500,10/6/23,https://carsandbids.com/auctions/37XnQPVZ/2015-bmw-m4-coupe
2016,BMW,F8X M4,"27,200",Clean (CA),"Hercules, CA 94547",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Black Sapphire Metallic,Sakhir Orange,17,41750,10/4/23,https://carsandbids.com/auctions/302qbzMr/2016-bmw-m4-convertible
2020,BMW,F8X M4,"2,200",Clean (FL),"Saint Petersburg, FL 33702",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Nardo Gray,Black,0,61555,9/27/23,https://carsandbids.com/auctions/30R2ZEbj/2020-bmw-m4-coupe-competition-package
2018,BMW,F8X M4,"24,300",Clean (FL),"Miami, FL 33132",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Black,4,52000,9/26/23,https://carsandbids.com/auctions/3OBxJEJm/2018-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"52,000",Clean (PA),"Pittsburgh, PA 15238",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Austin Yellow Metallic,Black,3,35000,9/19/23,https://carsandbids.com/auctions/98lxWELw/2015-bmw-m4-coupe
2016,BMW,F8X M4,"40,500",Clean (CA),"Redding, CA 96002",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Black,2,41250,9/15/23,https://carsandbids.com/auctions/KPakwMDQ/2016-bmw-m4-coupe
2019,BMW,F8X M4,"22,000",Clean (OR),"Grants Pass, OR 97526",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Anthracite,2,60000,9/5/23,https://carsandbids.com/auctions/30lN7pP1/2019-bmw-m4-cs
2015,BMW,F8X M4,"39,400",Clean (TX),"San Antonio, TX 78251",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Sakhir Orange,9,40710,8/22/23,https://carsandbids.com/auctions/92n477jQ/2015-bmw-m4-convertible
